CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_SCHEMA,TABLE_NAME,COLUMNS,CARDINARITY,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMNS,UPDATE_RULE,DELETE_RULE
meeting_reservation_sys,,meeting_reservation_sys.interviewers_ibfk_1,meeting_reservation_sys,interviewers,manager_id,,meeting_reservation_sys,managers,manager_id,NO ACTION,NO ACTION
meeting_reservation_sys,,meeting_reservation_sys.reservation_pasts_ibfk_1,meeting_reservation_sys,reservation_pasts,time_id,,meeting_reservation_sys,times,time_id,NO ACTION,NO ACTION
meeting_reservation_sys,,meeting_reservation_sys.reservation_pasts_ibfk_2,meeting_reservation_sys,reservation_pasts,user_id,,meeting_reservation_sys,users,user_id,NO ACTION,NO ACTION
meeting_reservation_sys,,meeting_reservation_sys.reservation_pasts_ibfk_3,meeting_reservation_sys,reservation_pasts,interviewer_id,,meeting_reservation_sys,interviewers,interviewer_id,NO ACTION,NO ACTION
meeting_reservation_sys,,meeting_reservation_sys.reservations_ibfk_1,meeting_reservation_sys,reservations,time_id,,meeting_reservation_sys,times,time_id,NO ACTION,NO ACTION
meeting_reservation_sys,,meeting_reservation_sys.reservations_ibfk_2,meeting_reservation_sys,reservations,user_id,,meeting_reservation_sys,users,user_id,NO ACTION,NO ACTION
meeting_reservation_sys,,meeting_reservation_sys.reservations_ibfk_3,meeting_reservation_sys,reservations,interviewer_id,,meeting_reservation_sys,interviewers,interviewer_id,NO ACTION,NO ACTION
